y	Nit	Phos	Pot
1.98	0	0	0
2.13	0	0	1
2.19	0	0	2
1.97	0	0	3
2.38	0	1	0
2.24	0	1	1
2.1	0	1	2
2.6	0	1	3
2.18	0	2	0
2.56	0	2	1
2.22	0	2	2
2.47	0	2	3
2.22	0	3	0
2.47	0	3	1
2.94	0	3	2
2.48	0	3	3
3.88	1	0	0
3.91	1	0	1
3.66	1	0	2
4.07	1	0	3
4.35	1	1	0
4.59	1	1	1
4.47	1	1	2
4.55	1	1	3
4.14	1	2	0
4.36	1	2	1
4.55	1	2	2
4.35	1	2	3
4.26	1	3	0
4.72	1	3	1
4.83	1	3	2
4.85	1	3	3
4.4	2	0	0
4.91	2	0	1
5.1	2	0	2
5.23	2	0	3
5.01	2	1	0
5.64	2	1	1
5.68	2	1	2
5.6	2	1	3
4.77	2	2	0
5.69	2	2	1
5.8	2	2	2
6.07	2	2	3
5.17	2	3	0
5.45	2	3	1
5.85	2	3	2
6.43	2	3	3
4.43	3	0	0
5.31	3	0	1
5.15	3	0	2
5.87	3	0	3
4.95	3	1	0
6.27	3	1	1
6.49	3	1	2
6.54	3	1	3
5.22	3	2	0
6.27	3	2	1
6.35	3	2	2
6.72	3	2	3
5.66	3	3	0
6.24	3	3	1
7.11	3	3	2
7.32	3	3	3
