species	time	nesting	size	status
Sparrowhawk	3.03	1	0	1
Buzzard	5.464	2	0	1
Kestrel	4.098	1.21	0	1
Peregrine	1.681	1.125	0	1
Grey_partridge	8.85	5.167	0	1
Quail	1.493	1	0	0
Red-legged_partridge	7.692	2.75	0	1
Pheasant	3.846	5.63	0	1
Water_rail	16.667	3	0	1
Corncrake	4.219	4.67	0	0
Moorhen	8.13	4.056	0	1
Coot	5	1	0	1
Lapwing	7.299	6.96	0	0
Golden_plover	1	1.67	0	0
Ringed_plover	27.027	5.56	0	1
Curlew	3.106	2.83	0	0
Redshank	4	4.375	0	0
Snipe	16.129	4.125	0	0
Stock_dove	3.484	3.67	0	1
Rock_dove	37.037	8.33	0	1
Wood_pigeon	7.299	2.75	0	1
Cuckoo	2.525	1.43	0	0
Short-eared_owl	4.132	2	0	1
Little_owl	2	2.75	0	1
Magpie	10	4.5	0	1
Jackdaw	2.667	7.12	0	1
Carrion_crow	4.587	4.58	0	1
Raven	58.824	2.35	0	1
Skylark	32.258	6.87	1	1
Swallow	2.571	3.83	1	0
House_martin	2.16	5	1	0
Yellow_wagtail	1	1.25	1	0
Pied_wagtail	2.967	2.27	1	1
Meadow_pipit	9.524	5.35	1	1
Wren	11.111	8.7	1	1
Dunnock	7.299	6.1	1	1
Robin	4	3.33	1	1
Stonechat	2.381	3.64	1	1
Wheatear	2.611	4.83	1	0
Blackbird	3.257	4.67	1	1
Song_thrush	1.701	1.7	1	1
Mistle_thrush	1.795	1.33	1	1
Grasshopper_warbler	1.198	1	1	0
Sedge_warbler	3.185	1.9	1	0
Whitethroat	2.273	4.42	1	0
Willow_warbler	1.111	1.25	1	0
Chiffchaff	1	1	1	0
Goldcrest	1	1	1	1
Spotted_flycatcher	1.23	1	1	0
Great_tit	6.061	2.5	1	1
Blue_tit	3.175	1.5	1	1
Yellowhammer	2	2.5	1	1
Reed_bunting	5.076	5.63	1	1
Chaffinch	1.934	2.37	1	1
Goldfinch	1.493	1.5	1	1
Redpoll	1	1	1	1
Linnet	5.102	6.5	1	1
House_sparrow	3.003	4.5	1	1
Tree_sparrow	1.898	2.17	1	1
Starling	41.667	11.62	1	1
Pied_flycatcher	1	1	1	0
Siskin	1	1	1	1
