grade	prev.grade	act
1	1	22
0	0	17
1	1	22
0	0	17
1	0	18
0	0	19
0	0	21
0	0	24
0	1	22
0	0	20
0	1	22
1	1	20
1	1	25
1	0	20
1	0	20
0	0	19
1	0	21
0	0	18
1	1	22
1	1	17
0	0	19
1	0	21
1	1	24
1	1	18
1	0	21
0	0	19
1	0	21
1	0	26
0	0	19
1	1	21
0	0	21
0	0	20
1	1	29
0	0	18
1	1	20
0	1	23
0	0	19
0	0	24
0	0	17
1	0	18
0	0	20
0	0	19
0	0	23
0	0	16
0	0	18
1	1	20
1	0	17
0	1	27
0	0	24
0	0	19
0	1	21
1	1	26
1	0	20
1	1	19
1	1	26
0	0	17
1	1	17
1	0	21
0	0	18
1	1	17
0	0	17
0	0	23
0	0	23
1	0	23
1	1	19
0	0	24
1	0	17
0	0	15
1	1	21
0	0	17
0	0	17
0	0	18
0	1	19
0	0	17
1	0	21
1	1	19
0	0	16
0	0	21
1	0	25
0	0	18
1	1	26
0	0	18
0	0	23
1	0	22
0	0	21
1	1	23
1	0	22
0	0	20
1	1	15
0	0	22
0	0	22
0	0	21
1	1	24
1	1	23
1	0	28
0	0	18
0	0	23
0	1	15
0	0	19
1	1	22
