State	M.pct	O.pct	EV
Alabama	58	36	9
Alaska	55	37	3
Arizona	50	46	10
Arkansas	51	44	6
California	33	55	55
Colorado	45	52	9
Connecticut	31	56	7
Delaware	38	56	3
D.C.	13	82	3
Florida	46	50	27
Georgia	52	47	15
Hawaii	32	63	4
Idaho	68	26	4
Illinois	35	59	21
Indiana	48	48	11
Iowa	37	54	7
Kansas	63	31	6
Kentucky	51	42	8
Louisiana	50	43	9
Maine	35	56	4
Maryland	39	54	10
Massachusetts	34	53	12
Michigan	37	53	17
Minnesota	42	53	10
Mississippi	46	33	6
Missouri	48	48	11
Montana	49	46	3
Nebraska	60	34	5
Nevada	43	47	5
New.Hampshire	42	53	4
New.Jersey	34	55	15
New.Mexico	43	51	5
New.York	31	62	31
North.Carolina	49	46	15
North.Dakota	43	45	3
Ohio	47	45	20
Oklahoma	61	34	7
Oregon	34	48	7
Pennsylvania	46	52	21
Rhode.Island	31	45	4
South.Carolina	59	39	8
South.Dakota	48	41	3
Tennessee	55	39	11
Texas	57	38	34
Utah	55	32	5
Vermont	36	57	3
Virginia	44	47	13
Washington	39	51	11
West.Virginia	53	44	5
Wisconsin	42	53	10
Wyoming	58	32	3
