year	home	favorite	underdog	spread	favorite.name	underdog.name	week
1981	1	21	13	2	TB	MIN	1
1981	1	27	0	9.5	ATL	NO	1
1981	1	31	0	4	BUF	NYJ	1
1981	1	9	16	4	CHI	GB	1
1981	1	27	21	4.5	CIN	SEA	1
1981	0	26	10	2	DAL	WAS	1
1981	1	24	17	5	DET	SF	1
1981	1	20	27	6	LAN	HOU	1
1981	0	20	7	1	MIA	PHX	1
1981	1	28	29	6.5	NE	IND	1
1981	0	7	9	2.5	LAA	DEN	1
1981	0	24	10	6	PHA	NYG	1
1981	1	33	37	9.5	PIT	KC	1
1981	1	14	44	2	CLE	SD	1
1981	1	30	10	2	MIA	PIT	2
1981	0	31	17	4.5	ATL	GB	2
1981	0	35	3	2.5	BUF	IND	2
1981	1	3	9	3.5	CLE	HOU	2
1981	1	30	17	10.5	DAL	PHX	2
1981	0	10	13	1	DEN	SEA	2
1981	1	19	10	3.5	KC	TB	2
1981	0	17	23	7	LAN	NO	2
1981	1	30	31	4	NYJ	CIN	2
1981	1	13	3	3.5	PHA	NE	2
1981	1	28	23	7	SD	DET	2
1981	1	28	17	1	SF	CHI	2
1981	1	7	17	6.5	WAS	NYG	2
1981	0	36	10	2.5	LAA	MIN	2
1981	1	14	20	4	BUF	PHA	3
1981	1	34	17	9.5	ATL	SF	3
1981	1	28	17	3.5	CHI	TB	3
1981	1	17	20	1	CIN	CLE	3
1981	1	28	10	3	DEN	IND	3
1981	0	24	26	3.5	DET	MIN	3
1981	1	10	16	2.5	HOU	MIA	3
1981	1	35	23	7	LAN	GB	3
1981	1	20	7	3.5	NYG	NO	3
1981	1	20	10	7	LAA	SEA	3
1981	1	38	10	5.5	PIT	NYJ	3
1981	1	40	30	3.5	PHX	WAS	3
1981	0	42	31	4	SD	KC	3
1981	0	35	21	2	DAL	NE	3
1981	0	17	28	2	ATL	CLE	4
1981	0	24	27	3.5	BUF	CIN	4
1981	1	18	10	10.5	DAL	NYG	4
1981	1	13	30	3	GB	MIN	4
1981	0	17	33	3.5	HOU	NYJ	4
1981	0	31	28	3	MIA	IND	4
1981	0	0	16	1.5	LAA	DET	4
1981	1	36	13	9	PHA	WAS	4
1981	1	27	21	3.5	PIT	NE	4
1981	0	24	42	3	SD	DEN	4
1981	1	21	14	6.5	SF	NO	4
1981	1	14	20	2	SEA	KC	4
1981	1	20	10	1	TB	PHX	4
1981	0	24	7	1	LAN	CHI	4
1981	1	23	17	7	BUF	IND	5
1981	0	17	20	6	DAL	PHX	5
1981	1	17	10	3.5	HOU	CIN	5
1981	1	27	16	2.5	LAN	CLE	5
1981	1	28	28	6	MIA	NYJ	5
1981	1	24	21	5	MIN	CHI	5
1981	1	33	17	5.5	NE	KC	5
1981	1	14	27	3	NYG	GB	5
1981	1	0	17	4	LAA	DEN	5
1981	0	20	6	6.5	PIT	NO	5
1981	1	24	10	9	SD	SEA	5
1981	1	28	10	1	TB	DET	5
1981	1	17	30	2.5	WAS	SF	5
1981	1	16	13	2	PHA	ATL	5
1981	1	35	37	3.5	ATL	LAN	6
1981	1	19	41	2	IND	CIN	6
1981	1	7	24	3.5	CHI	WAS	6
1981	0	14	45	5	DAL	SF	6
1981	1	27	21	7	DEN	DET	6
1981	1	10	21	3.5	GB	TB	6
1981	1	35	17	7	HOU	SEA	6
1981	0	24	28	2.5	NE	NYJ	6
1981	0	0	27	1	LAA	KC	6
1981	0	31	14	9	PHA	NO	6
1981	1	13	7	3.5	PIT	CLE	6
1981	0	14	34	1	PHX	NYG	6
1981	1	31	33	7	SD	MIN	6
1981	1	31	21	4	BUF	MIA	6
1981	1	41	20	8	ATL	PHX	7
1981	0	14	33	3	BUF	NYJ	7
1981	1	20	17	10.5	CLE	NO	7
1981	1	29	17	5	DAL	LAN	7
1981	0	14	28	0	DEN	KC	7
