Game	AB	R	H	X2B	X3B	HR	RBI	BB	SO
1	5	0	0	0	0	0	0	0	1
2	3	1	1	0	0	0	1	1	0
3	3	1	0	0	0	0	0	2	0
4	4	1	2	1	0	0	0	0	0
5	4	0	1	0	0	0	0	0	0
6	5	0	1	0	0	0	0	0	1
7	4	0	1	0	0	0	0	0	0
8	4	1	2	1	0	0	0	0	0
9	4	1	1	1	0	0	0	0	0
10	5	0	1	0	0	0	0	0	0
11	5	0	1	0	0	0	1	0	3
12	4	0	2	0	0	0	2	2	0
13	4	0	0	0	0	0	0	0	1
14	5	1	1	0	0	0	0	0	1
15	4	0	0	0	0	0	0	0	2
16	4	0	0	0	0	0	1	0	0
17	4	0	0	0	0	0	0	0	2
18	5	0	0	0	0	0	0	1	1
19	4	0	0	0	0	0	0	0	3
20	3	0	0	0	0	0	0	1	0
21	4	0	0	0	0	0	0	1	0
22	4	1	1	0	0	1	1	0	1
23	4	1	1	0	0	0	1	1	0
24	6	1	3	0	0	0	0	0	0
25	4	0	0	0	0	0	0	0	1
26	6	1	1	1	0	0	0	0	1
27	5	0	1	0	0	0	1	0	1
28	4	0	1	0	0	0	1	0	1
29	4	0	0	0	0	0	0	1	2
30	5	2	2	0	0	1	2	0	0
31	6	0	3	1	0	0	2	0	1
32	4	0	2	1	0	0	0	0	1
33	4	1	1	1	0	0	0	0	0
34	5	0	0	0	0	0	0	0	3
35	7	0	1	0	0	0	0	0	2
36	4	0	0	0	0	0	0	0	1
37	4	0	0	0	0	0	0	0	1
38	3	0	0	0	0	0	1	1	0
39	5	2	2	0	0	1	1	0	1
40	4	1	1	0	0	0	0	1	2
41	4	0	0	0	0	0	0	0	0
42	5	0	1	0	0	0	1	0	1
43	6	1	1	1	0	0	1	0	1
44	5	2	3	2	0	0	1	0	1
45	4	1	3	2	0	0	2	0	0
46	5	2	3	1	0	1	1	0	1
47	5	0	1	0	0	0	1	0	1
48	5	0	1	0	0	0	1	0	2
49	5	2	4	1	0	2	3	0	0
50	4	1	1	0	0	1	1	0	2
51	2	1	0	0	0	0	0	0	1
52	2	1	1	0	0	0	0	0	1
53	4	2	1	0	0	1	2	0	0
54	3	2	1	0	0	0	0	2	1
55	4	0	1	0	0	0	0	0	2
56	4	1	3	0	0	0	1	0	0
57	5	1	2	1	0	0	0	1	2
58	4	0	3	0	0	0	0	0	0
59	4	2	2	0	0	1	2	0	1
60	4	0	0	0	0	0	0	0	0
61	4	0	1	0	0	0	0	0	0
62	4	0	1	0	0	0	0	0	0
63	4	0	1	0	0	0	0	0	0
64	5	3	2	0	0	1	3	1	2
65	4	0	0	0	0	0	0	0	1
66	5	2	2	0	0	1	2	0	0
67	4	0	2	1	0	0	0	1	1
68	4	3	3	0	0	2	2	0	0
69	4	1	1	0	0	0	0	0	1
70	5	2	3	0	0	0	1	0	0
71	3	0	1	0	0	0	0	0	1
72	4	0	1	0	0	0	0	0	1
73	1	1	0	0	0	0	0	2	0
74	5	1	2	1	0	0	0	0	2
75	5	0	3	0	0	0	1	0	0
76	4	0	0	0	0	0	0	1	0
77	4	0	1	1	0	0	0	0	0
78	4	1	1	0	0	0	1	0	1
79	5	1	2	2	0	0	2	0	0
80	4	0	2	0	0	0	1	0	0
81	4	1	1	1	0	0	3	0	0
82	5	1	1	1	0	0	0	0	1
83	4	1	1	0	0	1	1	0	0
84	4	0	0	0	0	0	0	0	0
85	5	2	2	0	0	0	0	0	1
86	4	0	1	1	0	0	0	0	0
87	5	1	2	1	0	0	0	0	1
88	2	1	1	0	0	0	0	1	1
89	5	0	0	0	0	0	0	0	1
90	4	1	1	0	0	0	0	1	0
91	4	0	0	0	0	0	0	0	1
92	5	1	2	0	0	0	0	0	1
93	5	1	1	0	0	0	0	0	0
94	5	0	0	0	0	0	0	0	0
95	3	0	0	0	0	0	0	0	0
96	4	0	2	0	0	0	0	0	0
97	3	1	1	0	1	0	1	1	1
98	5	2	3	0	0	0	0	0	1
99	4	1	2	0	0	0	0	0	0
100	5	1	2	0	0	0	0	0	0
101	4	0	1	1	0	0	1	1	1
