Year	Age	G	AB	R	H	X2B	X3B	HR	RBI	SB	CS	BB	SO
1972	22	13	34	2	7	0	0	1	3	0	0	5	15
1973	23	132	367	43	72	11	0	18	52	8	2	62	136
1974	24	162	568	108	160	28	7	36	116	23	12	106	138
1975	25	158	562	93	140	34	3	38	95	29	12	101	180
1976	26	160	584	112	153	31	4	38	107	14	9	100	149
1977	27	154	544	114	149	27	11	38	101	15	8	104	122
1978	28	145	513	93	129	27	2	21	78	19	6	91	103
1979	29	160	541	109	137	25	4	45	114	9	5	120	115
1980	30	150	548	104	157	25	8	48	121	12	5	89	119
1981	31	102	354	78	112	19	2	31	91	12	4	73	71
1982	32	148	514	108	144	26	3	35	87	14	7	107	131
1983	33	154	534	104	136	16	4	40	109	7	8	128	148
1984	34	151	528	93	146	23	3	36	106	5	7	92	116
1985	35	158	549	89	152	31	5	33	93	1	3	87	117
1986	36	160	552	97	160	29	1	37	119	1	2	89	84
1987	37	147	522	88	153	28	0	35	113	2	1	83	80
1988	38	108	390	52	97	21	2	12	62	3	0	49	42
1989	39	42	148	19	30	7	0	6	28	0	1	21	17
