Player	Year	Age	G	AB	R	H	2B	3B	HR	RBI	BB	SO
Sosa	1989	20	58	183	27	47	8	0	4	13	11	47
Sosa	1990	21	153	532	72	124	26	10	15	70	33	150
Sosa	1991	22	116	316	39	64	10	1	10	33	14	98
Sosa	1992	23	67	262	41	68	7	2	8	25	19	63
Sosa	1993	24	159	598	92	156	25	5	33	93	38	135
Sosa	1994	25	105	426	59	128	17	6	25	70	25	92
Sosa	1995	26	144	564	89	151	17	3	36	119	58	134
Sosa	1996	27	124	498	84	136	21	2	40	100	34	134
Sosa	1997	28	162	642	90	161	31	4	36	119	45	174
Sosa	1998	29	159	643	134	198	20	0	66	158	73	171
Sosa	1999	30	162	625	114	180	24	2	63	141	78	171
Sosa	2000	31	156	604	106	193	38	1	50	138	91	168
Sosa	2001	32	160	577	146	189	34	5	64	160	116	153
Sosa	2002	33	150	556	122	160	19	2	49	108	103	144
Sosa	2003	34	137	517	99	144	22	0	40	103	62	143
Sosa	2004	35	126	478	69	121	21	0	35	80	56	133
Sosa	2005	36	102	380	39	84	15	1	14	45	39	84
Greenberg	1930	19	1	1	0	0	0	0	0	0	0	0
Greenberg	1933	22	117	449	59	135	33	3	12	87	46	78
Greenberg	1934	23	153	593	118	201	63	7	26	139	63	93
Greenberg	1935	24	152	619	121	203	46	16	36	170	87	91
Greenberg	1936	25	12	46	10	16	6	2	1	16	9	6
Greenberg	1937	26	154	594	137	200	49	14	40	183	102	101
Greenberg	1938	27	155	556	144	175	23	4	58	146	119	92
Greenberg	1939	28	138	500	112	156	42	7	33	112	91	95
Greenberg	1940	29	148	573	129	195	50	8	41	150	93	75
Greenberg	1941	30	19	67	12	18	5	1	2	12	16	12
Greenberg	1945	34	78	270	47	84	20	2	13	60	42	40
Greenberg	1946	35	142	523	91	145	29	5	44	127	80	88
Greenberg	1947	36	125	402	71	100	13	2	25	74	104	73
Aaron	1954	20	122	468	58	131	27	6	13	69	28	39
Aaron	1955	21	153	602	105	189	37	9	27	106	49	61
Aaron	1956	22	153	609	106	200	34	14	26	92	37	54
Aaron	1957	23	151	615	118	198	27	6	44	132	57	58
Aaron	1958	24	153	601	109	196	34	4	30	95	59	49
Aaron	1959	25	154	629	116	223	46	7	39	123	51	54
Aaron	1960	26	153	590	102	172	20	11	40	126	60	63
Aaron	1961	27	155	603	115	197	39	10	34	120	56	64
Aaron	1962	28	156	592	127	191	28	6	45	128	66	73
Aaron	1963	29	161	631	121	201	29	4	44	130	78	94
Aaron	1964	30	145	570	103	187	30	2	24	95	62	46
Aaron	1965	31	150	570	109	181	40	1	32	89	60	81
Aaron	1966	32	158	603	117	168	23	1	44	127	76	96
Aaron	1967	33	155	600	113	184	37	3	39	109	63	97
Aaron	1968	34	160	606	84	174	33	4	29	86	64	62
Aaron	1969	35	147	547	100	164	30	3	44	97	87	47
Aaron	1970	36	150	516	103	154	26	1	38	118	74	63
Aaron	1971	37	139	495	95	162	22	3	47	118	71	58
Aaron	1972	38	129	449	75	119	10	0	34	77	92	55
Aaron	1973	39	120	392	84	118	12	1	40	96	68	51
Aaron	1974	40	112	340	47	91	16	0	20	69	39	29
Aaron	1975	41	137	465	45	109	16	2	12	60	70	51
Aaron	1976	42	85	271	22	62	8	0	10	35	35	38
Ott	1926	17	35	60	7	23	2	0	0	4	1	9
Ott	1927	18	82	163	23	46	7	3	1	19	13	9
Ott	1928	19	124	435	69	140	26	4	18	77	52	36
Ott	1929	20	150	545	138	179	37	2	42	151	113	38
Ott	1930	21	148	521	122	182	34	5	25	119	103	35
Ott	1931	22	138	497	104	145	23	8	29	115	80	44
Ott	1932	23	154	566	119	180	30	8	38	123	100	39
Ott	1933	24	152	580	98	164	36	1	23	103	75	48
Ott	1934	25	153	582	119	190	29	10	35	135	85	43
Ott	1935	26	152	593	113	191	33	6	31	114	82	58
Ott	1936	27	150	534	120	175	28	6	33	135	111	41
