r	n	s	m
57	466	14	158
41	291	15	114
91	412	33	163
97	422	36	168
74	528	21	134
62	390	33	169
52	445	21	222
48	396	13	163
69	380	22	134
33	197	16	96
92	324	34	140
75	423	22	162
49	261	15	89
82	348	31	137
49	253	11	82
140	389	37	138
43	182	17	69
32	250	14	97
29	118	11	34
35	116	11	44
67	511	14	125
67	372	21	155
56	441	18	164
24	159	12	69
58	339	14	124
83	408	34	150
84	432	22	164
30	289	11	123
17	218	11	74
29	92	7	29
46	257	12	88
73	410	25	132
12	94	3	26
64	397	19	140
79	329	36	140
68	276	25	96
81	425	28	151
37	127	22	56
24	192	9	61
35	254	6	93
73	377	25	119
19	103	8	53
38	164	8	53
51	583	12	126
36	272	24	103
90	410	45	189
77	345	30	144
49	359	23	126
52	301	19	108
45	324	16	107
42	236	15	96
55	265	15	102
75	475	23	167
14	78	7	29
37	153	12	42
66	337	13	82
80	409	16	109
18	148	4	55
34	174	23	67
63	444	23	153
26	176	11	62
64	370	17	129
71	382	20	112
8	114	5	37
79	423	28	145
67	236	17	70
10	92	3	30
25	229	4	75
73	458	25	143
47	444	15	149
43	350	16	137
49	356	20	170
59	449	25	146
96	415	43	176
36	149	5	48
34	121	8	34
19	83	9	37
67	300	28	121
75	329	36	159
52	368	17	134
10	72	1	24
42	441	7	141
71	434	23	155
32	203	22	88
52	443	22	177
64	415	28	153
8	90	3	27
25	240	10	103
20	122	6	39
68	354	24	125
25	226	4	71
22	86	8	28
16	70	8	29
35	149	17	59
68	504	31	157
67	430	29	134
98	444	33	164
59	404	24	177
67	320	25	130
38	228	17	85
70	430	33	159
66	185	26	70
15	186	5	61
21	226	6	55
35	282	14	94
20	100	5	29
68	273	20	69
63	491	19	153
52	418	14	125
48	321	10	60
36	419	13	149
54	360	6	127
26	146	13	51
46	429	13	151
14	74	2	22
14	78	4	20
32	131	9	43
85	359	21	116
52	211	12	59
59	407	24	161
38	302	3	74
32	371	8	154
19	318	8	158
58	336	27	172
29	298	12	98
20	296	12	115
22	124	9	53
47	199	15	68
55	277	17	104
56	448	15	125
50	210	13	64
81	373	35	149
69	341	27	138
52	225	16	99
100	399	47	173
34	170	11	67
19	124	10	50
43	323	23	144
39	192	11	64
34	236	19	83
14	89	2	27
25	118	9	34
43	308	13	80
28	217	10	67
36	293	8	120
66	333	23	125
21	104	5	22
67	324	25	118
72	404	15	115
36	143	14	54
65	188	14	55
42	296	11	75
14	65	5	26
38	301	18	94
53	432	22	146
36	201	18	81
83	390	18	132
87	420	30	138
72	320	31	107
38	234	18	95
37	256	16	88
35	184	15	77
45	198	15	68
36	286	8	96
50	266	24	76
19	240	11	84
9	70	5	33
31	152	14	59
