Student	Height	Gender	Shoes	Number	Dvds	ToSleep	WakeUp	Haircut	Job	Drink
1	67	female	10	5	10	-2.5	5.5	60	30	water
2	64	female	20	7	5	1.5	8	0	20	pop
3	61	female	12	2	6	-1.5	7.5	48	0	milk
4	61	female	3	6	40	2	8.5	10	0	water
5	70	male	4	5	6	0	9	15	17.5	pop
6	63	female	NA	3	5	1	8.5	25	0	water
7	61	female	12	3	53	1.5	7.5	35	20	water
8	64	female	25	4	20	0.5	7.5	25	0	pop
9	66	female	30	3	40	-0.5	7	30	25	water
10	65	male	10	7	22	2.5	8.5	12	0	milk
11	72	male	5	7	6	0	6.5	13	15	milk
12	63	female	20	4	60	-1	7	38	0	water
13	67	female	NA	7	0	2.5	6.5	35	12	pop
14	63.5	female	20	6	3	-1	7.5	110	27	milk
15	72	male	5	NA	83	2.5	8.5	15	28	pop
16	65	female	40	7	50	-0.5	7	15	0	water
17	62	female	8	7	NA	0	8.5	40	0	water
18	66	male	3	7	20	2.5	8	13	0	pop
19	71	male	6	7	0	0.5	7.5	12	12.5	water
20	64	female	4	7	8	-1.5	7.5	30	16	water
21	71	male	9	7	12	1.5	8	0	12	water
22	61	female	20	5	10	1.5	7.5	20	5	water
23	56	female	164	8	5	1	8	40	12.5	water
24	71	male	11	3	13	2	10	12	20	milk
25	63	female	15	3	100	0	9	50	12.5	pop
26	65	female	5	8	10	-0.5	6	10	22	water
27	68	male	9	7	2	0.5	8	10	NA	water
28	64	female	15	3	7	1.5	10	65	15	pop
29	59	female	25	6	10	0.5	8.5	25	0	water
30	61.5	female	25	7	52	1.5	8.5	87.6	0	water
31	70	male	5	4	15	3	11	15	10	water
32	64	female	15	6	45	1.5	7.5	10	18	water
33	63	female	32	7	15	2	9	42	11.5	pop
34	71	male	6	5	15	1	9.5	11	0	water
35	73	male	4	7	60	0.5	8.5	5	25	water
36	66	female	10	4	20	1	7	30	12	water
37	66	female	32	5	46	0.5	9	30	0	pop
38	63	female	30	6	1	2	7.25	95	20	milk
39	67	female	10	7	30	1.5	8.5	60	12.5	pop
40	76	female	12	2	20	-0.5	9.5	15	8	water
41	61	female	15	5	30	2	10	17	15	water
42	63	female	20	2	15	-0.5	9.5	21	10	water
43	62	female	60	3	15	0.5	7.5	50	10	pop
44	65	female	15	7	17	-1	9.5	25	0	milk
45	68	female	35	7	29	-1	6.5	25	0	water
46	63	female	30	5	20	1	6	180	6	water
47	62	female	30	4	100	2.5	8	28	0	water
48	72	male	2	1	150	1	8.5	0	0	pop
49	66	female	20	8	15	2	10	25	10	pop
50	62	female	5	10	10	-0.5	8.5	40	0	water
51	67	female	35	7	10	1.5	9	0	0	milk
52	64.5	female	14	7	2	-0.5	9	45	8	pop
53	66	female	15	3	10	2.5	9.5	17	15	pop
54	65	female	20	7	18	2	9	0	15	water
55	NA	female	8	8	20	1.5	8.5	28	10	water
56	65	female	10	6	0	0	9	15	NA	pop
57	65	female	20	9	12	0.5	8.5	50	20	milk
58	67	female	15	7	30	4	11	30	0	pop
59	64	female	5	7	30	0.5	9	15	12	pop
60	67	female	20	4	5	0	8	55	10	water
61	64	female	50	7	40	-1	7	60	0	water
62	66	female	10	2	10	0.5	7.5	27	10	water
63	67	male	3	3	70	3	9	25	0	water
64	65	female	20	6	25	0	6	35	12.5	water
65	72	male	7	7	10	0.5	9	11	15	water
66	73	male	4	1	5	-1	8	10	0	milk
67	71	male	5	1	25	1.5	7.5	11	15	pop
68	73	male	8	3	20	1.5	10.5	0	4	pop
69	72	male	8	3	4	0	11	20	8	pop
70	68	male	5	8	10	2	10	0	0	water
71	64	female	54	3	30	2.5	8	14	16	water
72	68	female	25	5	10	3	8.5	15	0	water
73	62	female	30	3	5	1.5	6.5	40	0	pop
74	66	male	3	7	25	-0.5	7.5	15	0	water
75	76	male	8	5	10	0.5	9.5	0	17.5	pop
76	55	female	20	2	10	3	10.5	115	0	pop
77	69	female	23	3	0	-1	9.5	0	NA	water
78	71	male	9	4	90	2.5	7.5	7	25	pop
79	68	female	25	2	15	-0.5	10.5	30	16	pop
80	68	male	9	8	10	3.5	7	13	10	milk
